# region irank jrank data_tot data_tx data_rx nmsg_tx nmsg_rx
ipm_global 0 0 9370208 4685104 4685104 498 498
ipm_global 1 0 3854430540 3249709420 604721120 42979 39372
ipm_global 1 1 9628128 4814064 4814064 498 498
ipm_global 2 0 24114520 13671512 10443008 5959 9422
ipm_global 2 1 3840854324 3242041276 598813048 46272 35126
ipm_global 2 2 10600192 5300096 5300096 498 498
ipm_global 3 0 612502072 314850424 297651648 3165 13348
ipm_global 3 1 29029120 13984128 15044992 5262 5326
ipm_global 3 2 3842169032 3240828720 601340312 42496 39350
ipm_global 3 3 9370208 4685104 4685104 498 498
ipm_global 4 0 267411520 138791040 128620480 24669 1700
ipm_global 4 1 23243232 17904880 5338352 15538 2546
ipm_global 4 2 10150336 5075168 5075168 498 498
ipm_global 4 3 3257948748 2959417596 298531152 46158 33156
ipm_global 4 4 9628128 4814064 4814064 498 498
ipm_global 5 0 14793248 9977104 4816144 1067 498
ipm_global 5 1 268434568 135126568 133308000 24612 13668
ipm_global 5 2 10283456 5141728 5141728 498 498
ipm_global 5 3 10156576 4816144 5340432 498 2546
ipm_global 5 4 3847439464 3244994024 602445440 42368 34934
ipm_global 5 5 9894368 4947184 4947184 498 498
ipm_global 6 0 14525648 9794152 4731496 683 498
ipm_global 6 1 11164816 4795976 6368840 498 4594
ipm_global 6 2 257494488 130646632 126847856 30372 1700
ipm_global 6 3 9987280 4731496 5255784 498 2546
ipm_global 6 4 15427728 7280200 8147528 3278 5326
ipm_global 6 5 3842528072 3242697128 599830944 44224 34817
ipm_global 6 6 9555776 4777888 4777888 498 498
ipm_global 7 0 3013179884 60799248 2952380636 1433 35470
ipm_global 7 1 11200992 4814064 6386928 498 4594
ipm_global 7 2 10183104 5107936 5075168 626 498
ipm_global 7 3 256409104 128325200 128083904 20388 13668
ipm_global 7 4 607085696 309434432 297651264 2276 9252
ipm_global 7 5 28226240 13590880 14635360 5262 5326
ipm_global 7 6 3843958104 3243256760 600701344 42390 34956
ipm_global 7 7 9628128 4814064 4814064 498 498
ipm_global 8 0 674883468 639272988 35610480 36085 2975
ipm_global 8 1 98369984 50671840 47698144 1510 1444
ipm_global 8 2 10600192 5300096 5300096 498 498
ipm_global 8 3 10021376 5010688 5010688 498 498
ipm_global 8 4 243019856 121509928 121509928 1060 1060
ipm_global 8 5 10283456 5141728 5141728 498 498
ipm_global 8 6 10077984 5038992 5038992 498 498
ipm_global 8 7 252453376 5075168 247378208 498 30486
ipm_global 8 8 10600192 5300096 5300096 498 498
ipm_global 9 0 9462992 4731496 4731496 498 498
ipm_global 9 1 679950876 643473764 36477112 36228 3008
ipm_global 9 2 10077984 5038992 5038992 498 498
ipm_global 9 3 9462992 4731496 4731496 498 498
ipm_global 9 4 9591952 4795976 4795976 498 498
ipm_global 9 5 247611552 123805776 123805776 1060 1060
ipm_global 9 6 9555776 4777888 4777888 498 498
ipm_global 9 7 9591952 4795976 4795976 498 498
ipm_global 9 8 3817423736 3235471848 581951888 36096 31734
ipm_global 9 9 9555776 4777888 4777888 498 498
ipm_global 10 0 7300880 3650440 3650440 498 498
ipm_global 10 1 12411632 8728952 3682680 619 498
ipm_global 10 2 674095372 638383324 35712048 36096 3019
ipm_global 10 3 7300880 3650440 3650440 498 498
ipm_global 10 4 7365360 3682680 3682680 498 498
ipm_global 10 5 7431920 3715960 3715960 498 498
ipm_global 10 6 236183168 118091584 118091584 1060 1060
ipm_global 10 7 7365360 3682680 3682680 498 498
ipm_global 10 8 8108928 4054464 4054464 1102 1102
ipm_global 10 9 3809353440 3231928400 577425040 35968 31606
ipm_global 10 10 5231552 2615776 2615776 498 498
ipm_global 11 0 9334032 4667016 4667016 498 498
ipm_global 11 1 14509264 9777768 4731496 619 498
ipm_global 11 2 9949024 4974512 4974512 498 498
ipm_global 11 3 676719260 639109540 37609720 36096 3063
ipm_global 11 4 9462992 4731496 4731496 498 498
