Pos.x [m];Pos.y [m];Pos.z [m];Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];Type DualSphysics;
  3.9999999E-02;  3.9999999E-02;  3.9999999E-02;0;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0045452E+03;0;
  3.9999999E-02;  3.9999999E-02;  1.3000000E-01;1;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0084481E+03;0;
  3.9999999E-02;  3.9999999E-02;  2.2000000E-01;2;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  3.9999999E-02;  3.9999999E-02;  3.1000000E-01;3;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  3.9999999E-02;  1.3000000E-01;  3.9999999E-02;5;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0038298E+03;0;
  3.9999999E-02;  1.3000000E-01;  1.3000000E-01;6;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  3.9999999E-02;  1.3000000E-01;  2.2000000E-01;7;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  3.9999999E-02;  1.3000000E-01;  3.1000000E-01;8;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  3.9999999E-02;  2.2000000E-01;  3.9999999E-02;10;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0040396E+03;0;
  3.9999999E-02;  2.2000000E-01;  1.3000000E-01;11;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  3.9999999E-02;  2.2000000E-01;  2.2000000E-01;12;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  3.9999999E-02;  2.2000000E-01;  3.1000000E-01;13;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  3.9999999E-02;  3.1000000E-01;  3.9999999E-02;15;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0053483E+03;0;
  3.9999999E-02;  3.1000000E-01;  1.3000000E-01;16;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0064298E+03;0;
  3.9999999E-02;  3.1000000E-01;  2.2000000E-01;17;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  3.9999999E-02;  3.1000000E-01;  3.1000000E-01;18;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  1.3000000E-01;  3.9999999E-02;  3.9999999E-02;40;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0065227E+03;0;
  1.3000000E-01;  3.9999999E-02;  1.3000000E-01;41;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0067090E+03;0;
  1.3000000E-01;  3.9999999E-02;  2.2000000E-01;42;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  1.3000000E-01;  3.9999999E-02;  3.1000000E-01;43;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  1.3000000E-01;  1.3000000E-01;  3.9999999E-02;45;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0070104E+03;0;
  1.3000000E-01;  2.2000000E-01;  3.9999999E-02;46;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0071990E+03;0;
  1.3000000E-01;  3.1000000E-01;  3.9999999E-02;47;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0058255E+03;0;
  2.2000000E-01;  3.9999999E-02;  3.9999999E-02;56;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0032077E+03;0;
  2.2000000E-01;  3.9999999E-02;  1.3000000E-01;57;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0020343E+03;0;
  2.2000000E-01;  3.9999999E-02;  2.2000000E-01;58;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  2.2000000E-01;  3.9999999E-02;  3.1000000E-01;59;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0000000E+03;0;
  2.2000000E-01;  1.3000000E-01;  3.9999999E-02;61;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0070330E+03;0;
  2.2000000E-01;  2.2000000E-01;  3.9999999E-02;62;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0109805E+03;0;
  2.2000000E-01;  3.1000000E-01;  3.9999999E-02;63;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0013747E+03;0;
  3.1000000E-01;  3.9999999E-02;  3.9999999E-02;72;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0019836E+03;0;
  3.1000000E-01;  3.9999999E-02;  1.3000000E-01;73;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.0028326E+03;0;
